word_id,fr,dendi,phonetique,categorie,niveau,variant_region,source,linguistic_validated,validated_by,audio_status,audio_speaker,audio_file,notes
1,Bonjour (matin),Fɔɔ nna suba !,Fo nna souba !,Salutations,debutant,,,,,,,,
2,Bonjour (après-midi),Fɔɔ nna zari !,Fo nna zari !,Salutations,debutant,,,,,,,,
3,Bonsoir,Fɔɔ nna wìcírì !,Fo nna wiciri !,Salutations,debutant,,,,,,,,
4,Bonne nuit,Fɔɔ nna cíinì !,Fo nna wiciri !,Salutations,debutant,,,,,,,,
5,Salut / Coucou,Fɔɔ ,Fo,Salutations,debutant,,,,,,,,
6,Comment vas-tu ?,Wɔ kani banni ?,Wo kani banni ?,Salutations,debutant,,,,,,,,
7,Je vais bien,Baani,Bani,Salutations,debutant,,,,,,,,
8,Et toi ?,Nï ni,Ni ni,Salutations,debutant,,,,,,,,
9,Merci, Fɔɔ nna gbéi/ À sàabu,Fo nna gbéi / A saabu,Salutations,debutant,,,,,,,,
10,De rien,N/A,N/A,Salutations,debutant,,,,,,,,
11,S'il te plaît,Suurù,Souroù,Salutations,debutant,,,,,,,,
12,Excuse-moi / Pardon,Wc gàafara tè à cɛ,Wo gaafara tè à sè,Salutations,debutant,,,,,,,,
13,Oui,Ô,Ô,Salutations,debutant,,,,,,,,
14,Non,Ao,Aô,Salutations,debutant,,,,,,,,
15,Au revoir,À cí demsu !,A chi demsu !,Salutations,debutant,,,,,,,,
16,À bientôt,À cí demsu !,A chi demsu !,Salutations,debutant,,,,,,,,
17,Bienvenue,Fɔɔ nna nakàa,Fo nna nakaa,Salutations,debutant,,,,,,,,
18,Comment tu t'appelles ?,Mɛtɛ n màa ?,Mètè n maa ?,Salutations,debutant,,,,,,,,
19,Je m'appelle...,A màa nɔ̀ ..,A maa nò,Salutations,debutant,,,,,,,,
21,Matin,Súusuba,Suusuba,temps__journee,debutant,,,,,,,,
22,Après-midi,Zaarì,Zaari,temps__journee,debutant,,,,,,,,
23,Soir,Wícírì,Wichiri,temps__journee,debutant,,,,,,,,
24,Nuit,Cíinì,Tchini,temps__journee,debutant,,,,,,,,
25,Hier,Bî,Bii,temps__journee,debutant,,,,,,,,
26,Aujourd'hui,Hòn,Hon,temps__repere,debutant,,,,,,,,
27,Demain,Suba,Souba,temps__repere,debutant,,,,,,,,
28,Avant-hier,Bifó,Bifo,temps__repere,debutant,,,,,,,,
29,Après-demain,Suba sí,Souba si,temps__repere,debutant,,,,,,,,
30,Lundi,Litɛni,Litèni,temps__semaine,intermediaire,,,,,,,,
31,Mardi,Talata,Talata,temps__semaine,intermediaire,,,,,,,,
32,Mercredi,Làaruba,Laar-rouba,temps__semaine,intermediaire,,,,,,,,
33,Jeudi,Làamisi,Laamisi,temps__semaine,intermediaire,,,,,,,,
34,Vendredi,Àruzuma,Arou-zouma,temps__semaine,intermediaire,,,,,,,,
35,Samedi,Asiibi,Acibi,temps__semaine,intermediaire,,,,,,,,
36,Dimanche,Lahadi,Lahadi,temps__semaine,intermediaire,,,,,,,,
37,Janvier,Dundumaha,Doun-dou-maha,temps__mois,intermediaire,,,,,,,,
38,Février,Dambaha,Dambaha,temps__mois,intermediaire,,,,,,,,
39,Mars,Weedɛlha,Wèdèlha,temps__mois,intermediaire,,,,,,,,
40,Avril,Kɔɔgiha,Koguiha,temps__mois,intermediaire,,,,,,,,
41,Mai,Ganhiha,Ganhiha,temps__mois,intermediaire,,,,,,,,
42,Juin,Dumaha,Doumaha,temps__mois,intermediaire,,,,,,,,
43,Juillet,Ceedoha,Tchédoha,temps__mois,intermediaire,,,,,,,,
44,Août,Dunduha,Doundouha,temps__mois,intermediaire,,,,,,,,
45,Septembre,Kasiha,Kasiha,temps__mois,intermediaire,,,,,,,,
46,octobre,Bunnɔaha,Boun-noaha,temps__mois,intermediaire,,,,,,,,
47,Novembre,Kɔɔkaha,Koukaha,temps__mois,intermediaire,,,,,,,,
48,Décembre,Fumtuha,Foumtouha,temps__mois,intermediaire,,,,,,,,
49,La tête,Bonnò,Bonno,corps,avance,,,,,,,,
50,Le cerveau,Bonnò-lòomì/Bonnò-lòopî,Bonno-loomi/Boon-loopi,corps,avance,,,,,,,,
51,Les cheveux,Hamini yo,Hamini yo,corps,avance,,,,,,,,
52,le cou,Jindè,Jinde,corps,avance,,,,,,,,
53,La gorge,Jindè kòlò/Jindè kòô,Jinde kolo/Jindè kôô,corps,avance,,,,,,,,
54,Le visage,Mongînîn,Monginin,corps,avance,,,,,,,,
55,Le front,Gòosi,Goosi,corps,avance,,,,,,,,
56,La joue,Jèbèrè/Djèbè,Jèbère/Djèèbè,corps,avance,,,,,,,,
57,La mâchoire,Djèbè-kinnin,Djèbè-kinnin,corps,avance,,,,,,,,
58,la gencive,Dîini/Dîin,Diini,corps,avance,,,,,,,,
59,Le menton,kaabê,Kaabè,corps,avance,,,,,,,,
60,La barbe,kaabê hamini,Kaabè hamini,corps,avance,,,,,,,,
61,la langue,Dèllè,Dèllè,corps,avance,,,,,,,,
62,Le nez,Nuunin,Nounin,corps,avance,,,,,,,,
63,L'oeil,Moon,Moon,corps,avance,,,,,,,,
64,Les sourcils,Moo-baasi yo/Moo sabou yo,Moo-baasi yo/Moo saabu,corps,avance,,,,,,,,
65,La lèvre,Mɛɛ-baasi,Mèè-baasi,corps,avance,,,,,,,,
66,La bouche,Mɛɛ,Mèè,corps,avance,,,,,,,,
67,Les dents,Hinjè yo/Hinyin yo,Hinjè yo,corps,avance,,,,,,,,
68,L'oreille,Hanna/hangan,Hanna/Hangan,corps,avance,,,,,,,,
69,La côte,tchèro,Tchèro,corps,avance,,,,,,,,
70,Le dos,Banna daayi/Baana,Banna daayi,corps,avance,,,,,,,,
71,Le bras,Jèsè,Jèsè,corps,avance,,,,,,,,
72,Le coude,Jèsèkonto,Jèsèkonto,corps,avance,,,,,,,,
73,La main,Kammè,Kammè,corps,avance,,,,,,,,
74,le doigt,Kammèizé,Kammèizé,corps,avance,,,,,,,,
75,La paume,kammè taafe,Kammè taafe,corps,avance,,,,,,,,
76,Le poignet,Kammè jindè,Kammè jinde,corps,avance,,,,,,,,
77,Le coeur,Binèize,Binèize,corps,avance,,,,,,,,
80,Le rein,Toosi hini,Toosi hini,corps,avance,,,,,,,,
81,La fesse,Buuté/Fiti-baka,Bouté,corps,avance,,,,,,,,
82,La jambe,Cèekpana,Cèekpana,corps,avance,,,,,,,,
83,Le genou,Cɛnnɛ,Cènne,corps,avance,,,,,,,,
84,Le tibia,Cee-bírí,Cee-biri,corps,avance,,,,,,,,
85,La cheville,Ceè jindè,Cèè jinde,corps,avance,,,,,,,,
86,Le pied,Cee,Cee,corps,avance,,,,,,,,
87,Le talon,Ceè banna,Cèè banna,corps,avance,,,,,,,,
88,Les orteils,Cèeinze yo,Cèeinze yo,corps,avance,,,,,,,,
89,L'ongle,Kòkòbè,Kokobè,corps,avance,,,,,,,,
90,La cuisse,Taala/Taa,Taala,corps,avance,,,,,,,,
91,La hanche,Kòsè-banna,Kosè-banna,corps,avance,,,,,,,,
92,La poitrine,Jèndè,Jènde,corps,avance,,,,,,,,
93,Le ventre,Gundè,Goundè,corps,avance,,,,,,,,
94,La nuque,Kpanna,Kpanna,corps,avance,,,,,,,,
95,Le front,Gòosi,Goosi,corps,avance,,,,,,,,
96,L'os,Biri,Biri,corps,avance,,,,,,,,
97,La chair,gaabaasî,Gaabaasi,corps,avance,,,,,,,,
98,La colonne vertébrale,Banna binni biri,Banna binni biri,corps,avance,,,,,,,,
100,Le poumon,Hinanzobu Foolo/Fuuka,Hinanzobu Foolo,corps,avance,,,,,,,,
101,le pharynx,Hinanzobu Hiinu,Hinanzobu Hiinu,corps,avance,,,,,,,,
102,Le sang,Kpírí,Kpiri,corps,avance,,,,,,,,
103,La salive,Yolo/Yoro,Yolo,corps,avance,,,,,,,,
104,le lombril,fumnè,Foumnè,corps,avance,,,,,,,,
106,La vessie,Toosi Fôolo/Toosi Fôo,Toosi Foolo,corps,avance,,,,,,,,
111,Acheter,Deiyo,Deiyo,verbes,intermediaire,,,,,,,,
112,Manger,ŋwaayo,umwaayo,verbes,intermediaire,,,,,,,,
113,Dormir,Kaniyo,Kaniyo,verbes,intermediaire,,,,,,,,
114,Laver,Hínnuyo,Hinnouyo,verbes,intermediaire,,,,,,,,
115,Parler,Sènnìyo,Sènnìyo,verbes,intermediaire,,,,,,,,
116,Marcher,Dirayo,Dirayo,verbes,intermediaire,,,,,,,,
117,Courir,Zuruyo,Zourouyo,verbes,intermediaire,,,,,,,,
118,Chanter,Dòoniyo,Dooniyo,verbes,intermediaire,,,,,,,,
119,Apprendre,Dendeniyo,Dendéniyo,verbes,intermediaire,,,,,,,,
120,Écrire,Hàntumyo,Hantoumyo,verbes,intermediaire,,,,,,,,
121,Entendre,Mãayo,Maayo,verbes,intermediaire,,,,,,,,
122,Regarder,Gunayo,Gounayo,verbes,intermediaire,,,,,,,,
123,Penser,Làsabuyo,Lasabouyo,verbes,intermediaire,,,,,,,,
