word_id,fr,dendi,phonetique,expected_filename,recorded,linguistic_validated,notes
1,Bonjour (matin),Fɔɔ nna suba !,Fo nna souba !,1.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
2,Bonjour (après-midi),Fɔɔ nna zari !,Fo nna zari !,2.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
6,Comment vas-tu ?,Wɔ kani banni ?,Wo kani banni ?,6.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
7,Je vais bien,Baani,Bani,7.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
8,Et toi ?,Nï ni,Ni ni,8.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
11,S'il te plaît,Suurù,Souroù,11.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
12,Excuse-moi / Pardon,Wc gàafara tè à cɛ,Wo gaafara tè à sè,12.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
13,Oui,Ô,Ô,13.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
14,Non,Ao,Aô,14.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
17,Bienvenue,Fɔɔ nna nakàa,Fo nna nakaa,17.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
18,Comment tu t'appelles ?,Mɛtɛ n màa ?,Mètè n maa ?,18.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
19,Je m'appelle...,A màa nɔ̀ ..,A maa nò,19.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
21,Matin,Súusuba,Suusuba,21.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
22,Après-midi,Zaarì,Zaari,22.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
23,Soir,Wícírì,Wichiri,23.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
24,Nuit,Cíinì,Tchini,24.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
25,Hier,Bî,Bii,25.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
26,Aujourd'hui,Hòn,Hon,26.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
27,Demain,Suba,Souba,27.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
28,Avant-hier,Bifó,Bifo,28.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
29,Après-demain,Suba sí,Souba si,29.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
188,Noir,Íbi,Ibi,188.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
189,Blanc,Íkpaare,Ikpaarè,189.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
190,Rouge,Ícíre,Itsire,190.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
191,Bleu,Íboogu,Ibougou,191.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
192,Vert,Subùganyi,Soubouganyi,192.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
193,Jaune,Ídosò,Idoso,193.mp3,,,Lot proposé ; validation linguistique requise avant enregistrement final.
